,wine_index,redwine,red_wineries,red_regions,red_countries,red_avg_wine_ratings,red_avg_price,vintage_year
35,35,Richebourg 2006,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1699.98,2006.0
36,36,Pessac-Leognan Premier Grand Cru Class\xe9 1961,Ch\xe2teau Haut-Brion,Pessac-Leognan,France,4.9,4146.94,1961.0
37,37,Roman\xe9e-Conti 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,11850.0,2011.0
38,38,C\xf4te-R\xf4tie La Mouline  1999,E. Guigal,Northern Rh\xf4ne,France,4.8,698.99,1999.0
39,39,Richebourg 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1699.96,2011.0
40,40,Saint-\xc9milion Premier Grand Cru Class\xe9 1990,Ch\xe2teau Beausejour (h\xe9ritiers Duffau-Lagarrosse),Saint-\xc9milion,France,4.8,799.98,1990.0
41,41,Cabernet Sauvignon Proprietor Grown 2010,Bryant Family Vineyard,St. Helena,United States,4.9,599.59,2010.0
42,42,Velvet Glove Shiraz 2007,Mollydooker,McLaren Vale,Australia,4.9,214.98,2007.0
43,43,Cabernet Sauvignon RBS To Kalon Beckstoffer 2010,Schrader,Calistoga,United States,4.9,349.98,2010.0
44,44,Velvet Glove Shiraz 2014,Mollydooker,McLaren Vale,Australia,4.9,189.98,2014.0
45,45,Richebourg 2010,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1798.99,2010.0
46,46,Cabernet Sauvignon 2005,Screaming Eagle,Oakville,United States,4.9,2494.99,2005.0
47,47,Poker Face Fitz 2004,Sine Qua Non,Central Coast,United States,4.9,824.99,2004.0
48,48,Veneto Alzero Cabernet 2006,Quintarelli Giuseppe,Veneto,Italy,4.8,374.99,2006.0
49,49,St Eden 2010,Bond Estates,Oakville,United States,4.9,396.99,2010.0
50,50,Bettina Proprietary Red 2009,Bryant Family Vineyard,St. Helena,United States,4.9,474.99,2009.0
51,51,The Maiden Napa Valley 2007,Harlan Estate,Oakville,United States,4.9,200.0,2007.0
52,52,\xdanico 1999,Vega Sicilia,Ribera del Duero,Spain,4.8,438.76,1999.0
53,53,Margaux Premier Grand Cru Class\xe9 1989,Ch\xe2teau Margaux,Margaux,France,4.8,574.99,1989.0
54,54,Margaux Premier Grand Cru Class\xe9 1982,Ch\xe2teau Margaux,Margaux,France,4.8,1049.98,1982.0
55,55,Grand Vin Pauillac Premier Grand Cru Class\xe9 1990,Ch\xe2teau Latour,Pauillac,France,4.8,794.99,1990.0
56,56,Grand Vin Pauillac Premier Grand Cru Class\xe9 1996,Ch\xe2teau Latour,Pauillac,France,4.7,994.99,1996.0
57,57,Cobos Malbec 2012,Vi\xf1a Cobos,Mendoza,Argentina,4.8,202.58,2012.0
58,58,Margaux Premier Grand Cru Class\xe9 1990,Ch\xe2teau Margaux,Margaux,France,4.8,999.98,1990.0
59,59,Pessac-Leognan Premier Grand Cru Class\xe9 1990,Ch\xe2teau Haut-Brion,Pessac-Leognan,France,4.8,894.99,1990.0
60,60,Pessac-Leognan Premier Grand Cru Class\xe9 1989,Ch\xe2teau Haut-Brion,Pessac-Leognan,France,4.8,1700.0,1989.0
61,61,Grand Vin Pauillac Premier Grand Cru Class\xe9 1982,Ch\xe2teau Latour,Pauillac,France,4.8,1949.49,1982.0
62,62,Toscana 2010,Masseto,Toscana,Italy,4.8,938.93,2010.0
63,63,Margaux Premier Grand Cru Class\xe9 2000,Ch\xe2teau Margaux,Margaux,France,4.8,998.99,2000.0
64,64,Saint \xc9milion Premier Grand Cru Class\xe9 1982,Ch\xe2teau Cheval Blanc,Saint-\xc9milion,France,4.8,937.49,1982.0
65,65,Amarone della Valpolicella Classico 2004,Quintarelli Giuseppe,Veneto,Italy,4.8,349.98,2004.0
66,66,Pauillac 2003,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.8,1298.99,2003.0
67,67,Toscana 2005,Masseto,Toscana,Italy,4.8,877.54,2005.0
68,68,Amarone della Valpolicella Classico 2006,Quintarelli Giuseppe,Veneto,Italy,4.8,349.49,2006.0
69,69,Pomerol 1998,P\xe9trus,Pomerol,France,4.8,3707.76,1998.0
70,70,Ark Vineyard Cabernet Sauvignon 2009,Hundred Acre,Rutherford,United States,4.8,324.97,2009.0
71,71,Pomerol 1997,P\xe9trus,Pomerol,France,4.8,1874.99,1997.0
72,72,Pomerol 2008,P\xe9trus,Pomerol,France,4.8,3062.48,2008.0
73,73,Pomerol 2006,P\xe9trus,Pomerol,France,4.8,2349.96,2006.0
74,74,Toscana 2011,Masseto,Toscana,Italy,4.8,668.86,2011.0
75,75,La T\xe2che 2007,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2195.0,2007.0
76,76,Grange 1991,Penfolds,South Australia,Australia,4.8,400.0,1991.0
77,77,Napa Valley 2006,Harlan Estate,Oakville,United States,4.8,549.99,2006.0
78,78,Margaux Premier Grand Cru Class\xe9 2009,Ch\xe2teau Margaux,Margaux,France,4.8,1249.98,2009.0
79,79,La T\xe2che 2006,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2500.0,2006.0
80,80,Cabernet Sauvignon 2012,Scarecrow,Napa Valley,United States,4.8,499.98,2012.0
81,81,\xdanico Reserva Especial 2015,Vega Sicilia,Ribera del Duero,Spain,4.8,459.99,2015.0
82,82,La T\xe2che 2005,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.7,4747.49,2005.0
83,83,Roman\xe9e-St.-Vivant 2009,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1750.0,2009.0
84,84,Cabernet Sauvignon 2010,Screaming Eagle,Oakville,United States,4.8,2843.99,2010.0
85,85,Napa Valley 2005,Harlan Estate,Oakville,United States,4.8,599.49,2005.0
86,86,Ark Vineyard Cabernet Sauvignon 2012,Hundred Acre,Rutherford,United States,4.8,429.97,2012.0
87,87,Cabernet Sauvignon RBS To Kalon Beckstoffer 2009,Schrader,Calistoga,United States,4.8,319.19,2009.0
88,88,Ch\xe2teauneuf-du-Pape Cuv\xe9e Da Capo 2007,Domaine du Pegau,Ch\xe2teauneuf-du-Pape,France,4.8,399.57,2007.0
89,89,Napa Valley 1997,Harlan Estate,Oakville,United States,4.8,1200.0,1997.0
90,90,Napa Valley 2007,Harlan Estate,Oakville,United States,4.8,1049.99,2007.0
91,91,La T\xe2che 2009,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,3449.98,2009.0
92,92,Sor\xec Tild\xecn 2000,Gaja,Piemonte,Italy,4.8,324.98,2000.0
93,93,Napa Valley 2008,Harlan Estate,Oakville,United States,4.8,624.99,2008.0
94,94,Cabernet Sauvignon 2012,Lokoya,Oakville,United States,4.8,379.97,2012.0
95,95,Napa Valley 2010,Harlan Estate,Oakville,United States,4.8,762.49,2010.0
96,96,Termanthia 2007,Bodega Numanthia,Toro,Spain,4.8,179.99,2007.0
97,97,Roman\xe9e-Conti 2005,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,22249.99,2005.0
98,98,Reva Alban Estate Syrah 2006,Alban Vineyards,Central Coast,United States,4.7,262.48,2006.0
99,99,Pomerol 2009,"[u""Ch\xe2teau l'\xc9vangile""]",Pomerol,France,4.8,449.99,2009.0
100,100,La T\xe2che 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2899.98,2011.0
101,101,IX Estate Red 2010,Colgin,Napa Valley,United States,4.8,534.99,2010.0
102,102,Roman\xe9e-St.-Vivant 2002,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1874.99,2002.0
103,103,Malleolus de Valderramiro 2005,Emilio Moro,Ribera del Duero,Spain,4.7,156.98,2005.0
104,104,Richebourg 2009,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2327.54,2009.0
105,105,Ark Vineyard Cabernet Sauvignon 2007,Hundred Acre,Rutherford,United States,4.8,458.98,2007.0
106,106,La T\xe2che 2002,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,4894.99,2002.0
107,107,Saint-\xc9milion Grand Cru 2010,Ch\xe2teau Tertre Roteboeuf,Saint-\xc9milion,France,4.8,244.94,2010.0
108,108,Red Blend 2010,Ovid,Napa Valley,United States,4.8,350.54,2010.0
109,109,Cabernet Sauvignon 2007,Merus,St. Helena,United States,4.8,178.98,2007.0
110,110,La Muse 2008,Verite,Sonoma County,United States,4.8,439.98,2008.0
111,111,Margaux Premier Grand Cru Class\xe9 1961,Ch\xe2teau Margaux,Margaux,France,4.7,2075.88,1961.0
112,112,Saint-\xc9milion Premier Grand Cru Class\xe9 2000,Ch\xe2teau Ausone,Saint-\xc9milion,France,4.8,1498.99,2000.0
113,113,Second Flight 2011,Screaming Eagle,Oakville,United States,4.8,523.97,2011.0
114,114,Napa Valley 2011,Harlan Estate,Oakville,United States,4.8,669.99,2011.0
115,115,Pomerol 1984,P\xe9trus,Pomerol,France,4.8,1975.76,1984.0
116,116,Ch\xe2teauneuf-du-Pape Cuv\xe9e Da Capo 2000,Domaine du Pegau,Ch\xe2teauneuf-du-Pape,France,4.8,534.99,2000.0
117,117,"[u""L'Ermita Velles Vinyes Priorat 1998""]",Alvaro Palacios,Priorat,Spain,4.8,397.49,1998.0
118,118,C\xf4te-R\xf4tie La Landonne 2010,E. Guigal,Northern Rh\xf4ne,France,4.7,599.47,2010.0
119,119,C\xf4te-R\xf4tie La Turque 2005,E. Guigal,Northern Rh\xf4ne,France,4.8,594.99,2005.0
120,120,Saint-\xc9milion Premier Grand Cru Class\xe9 2004,Ch\xe2teau Ausone,Saint-\xc9milion,France,4.8,656.99,2004.0
121,121,Raven Series Grenache 2006,Sine Qua Non,Central Coast,United States,4.8,349.98,2006.0
122,122,La T\xe2che 2010,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,3300.0,2010.0
123,123,Landslide Fire 2010,Cliff Lede,Yountville,United States,4.8,79.97,2010.0
124,124,Quella 2006,Bond Estates,Oakville,United States,4.8,290.79,2006.0
125,125,Saint-\xc9milion Premier Grand Cru Class\xe9 2006,Ch\xe2teau Ausone,Saint-\xc9milion,France,4.8,757.76,2006.0
126,126,Cabernet Sauvignon 2011,Scarecrow,Napa Valley,United States,4.8,394.99,2011.0
127,127,Grands \xc9ch\xe9zeaux 2010,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1299.49,2010.0
128,128,Roman\xe9e-St.-Vivant 2000,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2295.54,2000.0
129,129,Eisele Vineyard Cabernet\xa0Sauvignon 2012,Araujo Estate,Calistoga,United States,4.8,498.99,2012.0
130,130,Cabernet Sauvignon Proprietor Grown 2005,Bryant Family Vineyard,St. Helena,United States,4.8,429.26,2005.0
131,131,Cabernet Sauvignon Proprietor Grown 2007,Bryant Family Vineyard,St. Helena,United States,4.8,498.99,2007.0
132,132,Chambertin Grand Cru 1999,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.8,1560.33,1999.0
133,133,The Maiden Napa Valley 2001,Harlan Estate,Oakville,United States,4.8,214.98,2001.0
134,134,Darius II Cabernet Sauvignon 2008,Darioush,Napa Valley,United States,4.8,225.0,2008.0
135,135,La Muse 2002,Verite,Sonoma County,United States,4.8,274.99,2002.0
136,136,Second Flight 2007,Screaming Eagle,Oakville,United States,4.8,564.98,2007.0
137,137,C\xf4te-R\xf4tie La Mouline  2009,E. Guigal,Northern Rh\xf4ne,France,4.8,599.94,2009.0
138,138,Roman\xe9e-St.-Vivant 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1385.57,2011.0
139,139,The Thrill Of Stamp Collecting California Syrah 2009,Sine Qua Non,Central Coast,United States,4.8,289.99,2009.0
140,140,C\xf4te-R\xf4tie La Landonne 2005,E. Guigal,Northern Rh\xf4ne,France,4.8,586.99,2005.0
141,141,Matriarch 2001,Bond Estates,Oakville,United States,4.8,158.98,2001.0
142,142,Vecina 2006,Bond Estates,Oakville,United States,4.8,293.99,2006.0
143,143,Vecina 2005,Bond Estates,Oakville,United States,4.8,291.99,2005.0
144,144,James Berry Vineyard 2010,Saxum,Paso Robles,United States,4.8,154.99,2010.0
145,145,Clos de Vougeot Grand Cru 2011,Domaine M\xe9o-Camuzet,Bourgogne,France,4.8,235.48,2011.0
146,146,Chambertin Grand Cru 2012,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.8,2011.49,2012.0
147,147,Chambertin Grand Cru 2010,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.9,2199.98,2010.0
148,148,Les Pavots 2013,Peter Michael Winery,Knights Valley,United States,4.8,199.98,2013.0
149,149,Les Amis 2009,Torbreck,South Australia,Australia,4.9,150.0,2009.0
150,150,Roman\xe9e-St.-Vivant 2010,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1599.47,2010.0
151,151,Richebourg 2003,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1674.99,2003.0
152,152,Chambertin Grand Cru 2003,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.8,1402.96,2003.0
153,153,La T\xe2che 2012,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2997.46,2012.0
154,154,La Joie 2012,Verite,Sonoma County,United States,4.9,382.48,2012.0
155,155,Experiment 2012,Ovid,Napa Valley,United States,4.7,158.46,2012.0
156,156,C\xf4te-R\xf4tie La Mouline  2003,E. Guigal,Northern Rh\xf4ne,France,4.8,694.99,2003.0
157,157,Les Pavots 2001,Peter Michael Winery,Knights Valley,United States,4.8,269.99,2001.0
158,158,C\xf4te-R\xf4tie La Landonne 1999,E. Guigal,Northern Rh\xf4ne,France,4.8,699.98,1999.0
159,159,La Muse 2002,Verite,Sonoma County,United States,4.8,274.99,2002.0
160,160,Second Flight 2007,Screaming Eagle,Oakville,United States,4.8,564.98,2007.0
161,161,C\xf4te-R\xf4tie La Mouline  2009,E. Guigal,Northern Rh\xf4ne,France,4.8,599.94,2009.0
162,162,Roman\xe9e-St.-Vivant 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1385.57,2011.0
163,163,The Thrill Of Stamp Collecting California Syrah 2009,Sine Qua Non,Central Coast,United States,4.8,289.99,2009.0
164,164,C\xf4te-R\xf4tie La Landonne 2005,E. Guigal,Northern Rh\xf4ne,France,4.8,586.99,2005.0
165,165,Matriarch 2001,Bond Estates,Oakville,United States,4.8,158.98,2001.0
166,166,Vecina 2006,Bond Estates,Oakville,United States,4.8,293.99,2006.0
167,167,Vecina 2005,Bond Estates,Oakville,United States,4.8,291.99,2005.0
168,168,James Berry Vineyard 2010,Saxum,Paso Robles,United States,4.8,154.99,2010.0
169,169,Clos de Vougeot Grand Cru 2011,Domaine M\xe9o-Camuzet,Bourgogne,France,4.8,235.48,2011.0
170,170,Chambertin Grand Cru 2012,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.8,2011.49,2012.0
171,171,Chambertin Grand Cru 2010,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.9,2199.98,2010.0
172,172,Les Pavots 2013,Peter Michael Winery,Knights Valley,United States,4.8,199.98,2013.0
173,173,Les Amis 2009,Torbreck,South Australia,Australia,4.9,150.0,2009.0
174,174,Roman\xe9e-St.-Vivant 2010,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1599.47,2010.0
175,175,Richebourg 2003,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1674.99,2003.0
176,176,Chambertin Grand Cru 2003,Domaine Armand Rousseau,C\xf4te de Nuits,France,4.8,1402.96,2003.0
177,177,La T\xe2che 2012,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,2997.46,2012.0
178,178,La Joie 2012,Verite,Sonoma County,United States,4.9,382.48,2012.0
179,179,Experiment 2012,Ovid,Napa Valley,United States,4.7,158.46,2012.0
180,180,C\xf4te-R\xf4tie La Mouline  2003,E. Guigal,Northern Rh\xf4ne,France,4.8,694.99,2003.0
181,181,Les Pavots 2001,Peter Michael Winery,Knights Valley,United States,4.8,269.99,2001.0
182,182,C\xf4te-R\xf4tie La Landonne 1999,E. Guigal,Northern Rh\xf4ne,France,4.8,699.98,1999.0
183,183,Melbury 2008,Bond Estates,Oakville,United States,4.8,309.98,2008.0
184,184,Pomerol 1990,Le Pin,Pomerol,France,4.8,4046.26,1990.0
185,185,Red Blend 2005,Ovid,Napa Valley,United States,4.8,319.54,2005.0
186,186,IX Estate Red 2012,Colgin,Napa Valley,United States,4.8,562.46,2012.0
187,187,Madrona Ranch Cabernet Sauvignon 2001,Abreu,Napa Valley,United States,4.8,694.99,2001.0
188,188,"[u""L'Ermita Velles Vinyes Priorat 1996""]",Alvaro Palacios,Priorat,Spain,4.8,285.0,1996.0
189,189,St Eden 2011,Bond Estates,Oakville,United States,4.8,399.97,2011.0
190,190,Grands \xc9ch\xe9zeaux 2012,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,1214.99,2012.0
191,191,"Brunello di Montalcino Riserva ""Madonna del Piano"" 2009",Valdicava,Toscana,Italy,4.7,158.98,2009.0
192,192,Pomerol 2008,Le Pin,Pomerol,France,4.8,4199.97,2008.0
193,193,Cabernet Sauvignon 1990,Dalla Valle,Oakville,United States,4.8,139.46,1990.0
194,194,Chateauneuf-du-Pape La Combe Des Fous 2007,Clos Saint Jean,Ch\xe2teauneuf-du-Pape,France,4.8,424.99,2007.0
195,195,Bettina Proprietary Red 2011,Bryant Family Vineyard,St. Helena,United States,4.8,599.47,2011.0
196,196,"[u""L'Ermita Velles Vinyes Priorat 2009""]",Alvaro Palacios,Priorat,Spain,4.8,750.0,2009.0
197,197,Royal City Syrah 2012,Charles Smith,Walla Walla Valley,United States,4.8,149.95,2012.0
198,198,Pomerol 1986,Le Pin,Pomerol,France,4.8,2249.94,1986.0
199,199,"[u""d'Alceo 1998""]",Castello dei Rampolla,Toscana,Italy,4.7,119.94,1998.0
200,200,Le Desir 2010,Verite,Sonoma County,United States,4.8,399.98,2010.0
201,201,Elevation 1147 2012,David Arthur,Rutherford,United States,4.8,179.99,2012.0
202,202,Ch\xe2teauneuf-Du-Pape Le Secret Des Sabon 2009,Roger Sabon,Ch\xe2teauneuf-du-Pape,France,4.8,187.49,2009.0
203,203,Vieilles Vignes Charmes-Chambertin Grand Cru 2008,Perrot-Minot,Bourgogne,France,4.8,199.93,2008.0
204,204,Cabernet Sauvignon Proprietor Grown 2006,Bryant Family Vineyard,St. Helena,United States,4.8,416.89,2006.0
205,205,Cabernet Sauvignon 2003,Scarecrow,Napa Valley,United States,4.8,877.77,2003.0
206,206,Cabernet Sauvignon Galitzine Vineyard 2010,Quilceda Creek,Columbia Valley,United States,4.8,147.99,2010.0
207,207,Cabernet Sauvignon Abacus,ZD Wines,Rutherford,United States,4.7,479.97,
208,208,Toro Tinto,Teso La Monja,Toro,Spain,4.7,1622.99,
209,209,\xdanico Reserva Especial,Vega Sicilia,Ribera del Duero,Spain,4.7,419.98,
210,210,Sassicaia 2009,Tenuta San Guido,Toscana,Italy,4.7,200.0,2009.0
211,211,Almaviva 2010,Almaviva,Puente Alto,Chile,4.7,129.48,2010.0
212,212,Valbuena 5\xba 2006,Vega Sicilia,Ribera del Duero,Spain,4.7,183.98,2006.0
213,213,\xdanico 2000,Vega Sicilia,Ribera del Duero,Spain,4.7,427.99,2000.0
214,214,\xdanico 2004,Vega Sicilia,Ribera del Duero,Spain,4.7,439.98,2004.0
215,215,Sassicaia 2006,Tenuta San Guido,Toscana,Italy,4.7,264.98,2006.0
216,216,\xdanico 2003,Vega Sicilia,Ribera del Duero,Spain,4.7,381.98,2003.0
217,217,Bolgheri Superiore 2007,Ornellaia,Toscana,Italy,4.7,205.98,2007.0
218,218,Pauillac 2001,Ch\xe2teau Mouton Rothschild,Pauillac,France,4.7,489.98,2001.0
219,219,Margaux Premier Grand Cru Class\xe9 1995,Ch\xe2teau Margaux,Margaux,France,4.7,599.98,1995.0
220,220,Pauillac 1982,Ch\xe2teau Mouton Rothschild,Pauillac,France,4.7,1494.99,1982.0
221,221,Pauillac 1986,Ch\xe2teau Mouton Rothschild,Pauillac,France,4.7,916.99,1986.0
222,222,Pauillac 1990,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.7,849.98,1990.0
223,223,\xdanico 2007,Vega Sicilia,Ribera del Duero,Spain,4.7,335.99,2007.0
224,224,Pauillac 1999,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.7,699.98,1999.0
225,225,\xdanico 2002,Vega Sicilia,Ribera del Duero,Spain,4.7,364.97,2002.0
226,226,Solaia 2009,Marchesi Antinori,Toscana,Italy,4.7,254.97,2009.0
227,227,Pessac-Leognan Premier Grand Cru Class\xe9 2001,Ch\xe2teau Haut-Brion,Pessac-Leognan,France,4.7,474.49,2001.0
228,228,Pauillac 2005,Ch\xe2teau Mouton Rothschild,Pauillac,France,4.7,799.98,2005.0
229,229,Margaux Premier Grand Cru Class\xe9 1986,Ch\xe2teau Margaux,Margaux,France,4.7,548.99,1986.0
230,230,Solaia 2011,Marchesi Antinori,Toscana,Italy,4.7,250.18,2011.0
231,231,Bolgheri Superiore 2005,Ornellaia,Toscana,Italy,4.7,197.48,2005.0
232,232,Margaux Premier Grand Cru Class\xe9 1999,Ch\xe2teau Margaux,Margaux,France,4.7,432.49,1999.0
233,233,Reserva Especial Douro 2007,Casa Ferreirinha,Douro,Portugal,4.7,201.96,2007.0
234,234,Margaux Premier Grand Cru Class\xe9 1983,Ch\xe2teau Margaux,Margaux,France,4.7,792.99,1983.0
235,235,Pauillac 1995,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.7,722.49,1995.0
236,236,CASK 23 Cabernet Sauvignon 2012,"[u""Stag's Leap Wine Cellars""]",Napa Valley,United States,4.7,229.99,2012.0
237,237,Insignia 2007,Joseph Phelps,St. Helena,United States,4.7,279.97,2007.0
238,238,Pauillac 2001,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.6,777.49,2001.0
239,239,Pomerol 1982,P\xe9trus,Pomerol,France,4.7,3498.99,1982.0
240,240,Pomerol 1990,P\xe9trus,Pomerol,France,4.7,4447.99,1990.0
241,241,Pauillac Grand Cru Class\xe9 2009,Ch\xe2teau Pontet-Canet,Pauillac,France,4.7,277.99,2009.0
242,242,Amarone della Valpolicella Vigneto Monte Lodoletta 2006,Dal forno Romano,Veneto,Italy,4.7,398.99,2006.0
243,243,Pauillac 1986,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.7,1124.49,1986.0
244,244,Margaux Premier Grand Cru Class\xe9 1996,Ch\xe2teau Margaux,Margaux,France,4.7,798.99,1996.0
245,245,Pauillac 2000,Ch\xe2teau Mouton Rothschild,Pauillac,France,4.7,1798.99,2000.0
246,246,Grand Vin Pauillac Premier Grand Cru Class\xe9 2001,Ch\xe2teau Latour,Pauillac,France,4.7,659.98,2001.0
247,247,Saint-Est\xe8phe 1990,Ch\xe2teau Montrose,Saint-Est\xe8phe,France,4.7,586.99,1990.0
248,248,Pauillac 1982,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.7,3549.49,1982.0
249,249,Pauillac 1996,Ch\xe2teau Lafite Rothschild,Pauillac,France,4.7,1201.49,1996.0
